Keyword,Group,Keyword_length
pet scratcher,233,13
event voucher,254,13
shoulder bags,214,13
digital watch,132,13
reload coupon,250,13
led projecter,82,13
cutting blade,209,13
lcd projecter,82,13
printer toner,81,13
mobile reload,250,13
baking powder,248,13
feminine wash,64,13
laundry tools,174,13
laser printer,79,13
water bottles,175,13
acrylic paint,206,13
graphic cards,89,13
tick medicine,232,13
outdoor tools,202,13
coffee filter,259,13
waste removal,225,13
kids trousers,136,13
selfie camera,124,13
baby trousers,136,13
baby cardigan,138,13
snooker table,100,13
kids cardigan,138,13
kids jumpsuit,135,13
potato masher,178,13
clothes dryer,277,13
flea medicine,232,13
cotton fabric,210,13
air purifiers,261,13
digital piano,103,13
crossbody bag,220,13
baby bouncers,140,13
electric drum,104,13
hand blenders,256,13
messenger bag,220,13
action camera,123,13
gaming laptop,77,13
bridge camera,124,13
glucose meter,74,13
lubricant oil,128,13
playing dolls,147,13
kids headband,155,13
portable iron,276,13
wound plaster,73,13
blusher stick,56,13
wound bandage,73,13
make-up brush,59,13
walkie talkie,115,13
phone battery,116,13
coffee powder,246,13
cream blusher,56,13
contour cream,56,13
phone charger,116,13
baby headband,155,13
utility knife,200,13
refrigerators,270,13
cheese powder,240,13
radio speaker,269,13
contour stick,56,13
jersey fabric,210,13
energy drinks,241,13
eyeshadow pen,57,13
canvas fabric,210,13
robot vacuums,274,13
packet drinks,241,13
baby ointment,165,13
motion censor,266,13
nursing cover,164,13
menstrual cup,67,13
aloe vera gel,69,13
minyak lintah,65,13
ribbon fabric,210,13
sport camera,123,12
hand luggage,222,12
cooking pots,258,12
mobile phone,118,12
kids overall,135,12
cooking woks,258,12
mixing bowls,179,12
synthesizers,103,12
grill cooker,272,12
linen fabric,210,12
car chargers,126,12
snooker ball,100,12
water filter,271,12
storage bins,190,12
baby rompers,135,12
crepe fabric,210,12
baby overall,135,12
car stickers,127,12
usb speakers,112,12
sports watch,132,12
portable fan,262,12
bedding sets,176,12
wall sticker,182,12
alarm sensor,266,12
clothes iron,174,12
short wallet,212,12
coin pouches,212,12
elastic band,110,12
board shorts,22,12
travel totes,219,12
kitchen jars,175,12
water shower,263,12
phone bumper,122,12
baby singlet,137,12
nipple cover,20,12
silicone bra,20,12
brake fluids,128,12
watch clasps,131,12
sleeping bag,107,12
camping tent,107,12
water cooler,263,12
water heater,263,12
fishing reel,107,12
paper cutter,209,12
phone holder,122,12
drying racks,174,12
lycra fabric,210,12
hybrid watch,132,12
tape measure,208,12
water crayon,206,12
vape battery,133,12
punjabi suit,26,12
home theater,269,12
watch straps,131,12
office table,171,12
darts fights,99,12
sanitary pad,67,12
skiing boots,49,12
flash drives,78,12
baby storage,141,12
trading card,98,12
tissue paper,235,12
hiking boots,49,12
baking flour,248,12
futsal shoes,49,12
safety boots,49,12
toilet paper,235,12
baby shampoo,167,12
baking syrup,248,12
baby beanies,155,12
bill payment,251,12
blusher tint,56,12
baby booties,156,12
white pepper,247,12
black pepper,247,12
gaming mouse,84,12
kids puzzles,149,12
musical toys,151,12
outdoor play,150,12
bottle brush,164,12
skin essence,71,12
cheese slice,240,12
cotton swabs,164,12
loose powder,55,12
stuffed toys,147,12
garden tools,202,12
sunblock gel,68,12
eyeliner pen,57,12
minyak wangi,52,12
green coffee,246,12
coarse sugar,247,12
camphor ball,236,12
ballet flats,50,12
vanity table,169,12
kids beanies,155,12
baby legging,156,12
toy vehicles,94,12
food steamer,257,12
diamond ring,44,12
multi cooker,257,12
garlic press,178,12
coffee table,172,12
kids watches,158,12
hair vitamin,62,12
yogurt drink,245,12
hair perfume,62,12
kids sweater,138,12
kids hoodies,138,12
baby sweater,138,12
pet clothing,228,12
baby hoodies,138,12
kids singlet,137,12
family games,94,12
baby monitor,163,12
baby mittens,153,12
dining table,170,12
kids legging,156,12
neck pendant,41,12
cooling fans,89,12
office chair,171,12
baby carrier,140,12
stand mixers,256,12
power supply,89,12
contact lens,40,12
make-up sets,59,12
clothes rack,169,12
kitchen rack,170,12
waffle maker,256,12
baby walkers,140,12
gaming chair,88,12
baby gloves,153,11
breast pump,164,11
kids gloves,153,11
power tools,200,11
table lamps,194,11
sofa covers,184,11
baby bottle,164,11
nursing bra,164,11
baby hanger,160,11
sticky note,203,11
screwdriver,200,11
clothes peg,188,11
baby romper,138,11
baby shirts,139,11
baby blouse,139,11
kids shirts,139,11
kids blouse,139,11
study table,172,11
plastic bag,191,11
floor lamps,192,11
lamp shades,192,11
watercolour,206,11
garbage bin,174,11
wall lights,192,11
light bulbs,193,11
sterilisers,141,11
watch tools,131,11
bubble wrap,203,11
paint brush,200,11
milk bottle,164,11
almari baju,188,11
kids crafts,146,11
sports toys,150,11
bath towels,196,11
decorations,230,11
lace fabric,210,11
dried fruit,238,11
canned fish,237,11
wound swabs,73,11
stethoscope,74,11
thermometer,74,11
dried prawn,237,11
spa voucher,253,11
silver ring,44,11
insect coil,236,11
waist chain,43,11
neck choker,41,11
hand mixers,256,11
cermin mata,39,11
card reader,78,11
rice cooker,257,11
printer ink,81,11
supplements,232,11
bread maker,257,11
dental care,232,11
facial tool,59,11
pet climber,231,11
kettle pots,259,11
water pumps,230,11
medications,230,11
thermo pots,259,11
circulation,230,11
canned meat,237,11
syabas bill,251,11
rubiks cube,97,11
espadrilles,48,11
hair curler,60,11
coffee bean,246,11
milk powder,245,11
cheek stain,56,11
styling wax,62,11
hair pomade,62,11
styling gel,62,11
dry shampoo,62,11
pen perfume,52,11
cooking oil,247,11
teeth floss,63,11
brown sugar,247,11
phone stand,122,11
white sugar,247,11
cashew nuts,244,11
socks shoes,51,11
plain water,241,11
razor blade,66,11
fruit juice,241,11
skin lotion,69,11
body lotion,69,11
coarse salt,247,11
baking soda,248,11
sport shoes,49,11
night cream,69,11
mesin jahit,260,11
eyelid tape,58,11
makeup bags,216,11
smart watch,117,11
bass guitar,102,11
baju kurung,23,11
diving suit,22,11
windbreaker,5,11
kain pasang,210,11
night dress,21,11
beg sekolah,218,11
denim pants,6,11
microphones,113,11
rice paddle,211,11
cctv camera,265,11
fidget toys,97,11
travel iron,276,11
drawstrings,214,11
fishing rod,107,11
rod fishing,107,11
bandage bra,20,11
pet shampoo,224,11
phone cable,116,11
baju kemeja,23,11
snooker cue,100,11
pet costume,228,11
humidifiers,261,11
baju melayu,27,11
ceiling fan,262,11
phone cover,122,11
card sleeve,98,11
kipas angin,262,11
silk fabric,210,11
long wallet,212,11
baju kebaya,23,11
breast pad,164,10
sharpeners,178,10
sweatshirt,2,10
botol susu,164,10
canned tea,246,10
fat burner,54,10
bb cushion,55,10
car vacuum,275,10
sugar cube,247,10
oven mitts,178,10
trackpants,9,10
can opener,178,10
tv antenna,279,10
sweatpants,9,10
tea powder,246,10
mini dress,30,10
panty-hose,15,10
suspenders,43,10
air cooler,261,10
tv cabinet,172,10
frying pan,258,10
iron board,174,10
innerscarf,36,10
book shelf,189,10
steam iron,174,10
safety hat,37,10
spectacles,39,10
sunglasses,39,10
rash guard,22,10
dish racks,175,10
chain lock,267,10
cooler bag,264,10
silver pin,44,10
astro bill,251,10
baju tidur,21,10
night gown,21,10
unifi bill,251,10
bed covers,176,10
ring light,192,10
flip flops,46,10
comforters,176,10
bed sheets,176,10
stock pots,258,10
wall mount,280,10
hair dryer,60,10
board game,98,10
pool table,100,10
baby pants,136,10
kids pants,136,10
pet litter,225,10
dart shaft,99,10
litter box,225,10
dairy milk,245,10
dispensers,141,10
live plant,230,10
pet feeder,231,10
controller,93,10
baby chair,140,10
3d printer,79,10
diary book,204,10
bucket bag,220,10
marker pen,205,10
laptop bag,218,10
school bag,218,10
vape tanks,133,10
zip wallet,212,10
basketball,108,10
skateboard,108,10
headphones,111,10
zip purses,212,10
rice scoop,211,10
rice spoon,211,10
engine oil,128,10
cell phone,118,10
smartphone,118,10
car mounts,126,10
phone case,122,10
thumbdrive,78,10
filtration,230,10
acne cream,72,10
dried fish,237,10
skin serum,69,10
body scrub,70,10
face scrub,70,10
face toner,71,10
hand cream,69,10
face serum,71,10
kids socks,156,10
chocolates,243,10
toothpaste,63,10
hair serum,62,10
kids shoes,159,10
dried meat,237,10
baby wipes,144,10
baby socks,156,10
hair spray,62,10
bath robes,196,10
malt drink,245,10
diaper bag,142,10
2-1 laptop,77,10
air fryer,272,9
tote bags,213,9
door lock,267,9
hazelnuts,244,9
microwave,272,9
pesticide,236,9
seasoning,247,9
oil paint,206,9
wristlets,215,9
wallpaper,182,9
dressings,247,9
green tea,246,9
mixed nut,244,9
plasma tv,278,9
jelly bag,213,9
diy tools,200,9
ip camera,265,9
backpacks,218,9
sandpaper,200,9
coat care,232,9
workbench,200,9
paper bag,191,9
air pumps,230,9
photobook,204,9
pet foods,229,9
wearables,227,9
rak kasut,189,9
stand fan,262,9
tools box,200,9
shoe rack,189,9
pet brush,224,9
briefcase,221,9
sling bag,220,9
repellant,236,9
suitcases,219,9
candy bar,243,9
rucksacks,218,9
chestnuts,244,9
oral care,143,9
lip liner,61,9
kids hats,154,9
nanoblock,96,9
lip stain,61,9
cheongsam,28,9
camcorder,124,9
toe shoes,49,9
shapewear,14,9
baby food,168,9
bed frame,169,9
wet shoes,49,9
powerbank,116,9
smart tag,115,9
usb light,114,9
pendrives,78,9
earphones,111,9
desk toys,97,9
car seats,127,9
kids caps,154,9
ultrabook,77,9
baby hats,154,9
baby bibs,141,9
pacifiers,141,9
bodysuits,11,9
jumpsuits,11,9
heatsinks,89,9
high-tops,47,9
hair comb,60,9
figurines,134,9
kids arts,146,9
button up,29,9
tank tops,13,9
lip gloss,61,9
vape mods,133,9
sport rim,129,9
baby caps,154,9
treadmill,108,9
plimsolls,45,9
dart tips,99,9
day cream,69,9
hot pants,18,9
chopstick,177,9
saxophone,105,9
face mask,72,9
pool ball,100,9
face mist,71,9
adult toy,65,9
mouthwash,63,9
lubricant,65,9
eye patch,39,9
sport bra,20,9
fragrance,52,9
ear cuffs,38,9
miner hat,37,9
deodorant,52,9
playsuits,12,9
gold ring,44,9
nebulizer,74,9
balaclava,36,9
hair mask,62,9
e-reader,119,8
anarkali,26,8
ski mask,36,8
lighting,230,8
pashmina,35,8
clippers,224,8
pet mats,231,8
clarinet,105,8
baby cot,138,8
magazine,101,8
yoga mat,109,8
lipstick,61,8
teethers,141,8
swimsuit,22,8
football,108,8
bb cream,55,8
wall fan,262,8
stickers,203,8
deck box,98,8
stocking,15,8
camisole,13,8
skillets,258,8
clutches,215,8
scissors,209,8
trombone,105,8
shutters,125,8
vibrator,65,8
rucksack,214,8
coolants,128,8
pool cue,100,8
pee pads,226,8
mini fan,114,8
steering,129,8
body kit,129,8
sea salt,247,8
brownies,243,8
aquarium,231,8
spin mop,174,8
hair oil,62,8
bengkung,164,8
trousers,8,8
wardrobe,169,8
cupboard,169,8
skincare,232,8
dry iron,276,8
sneakers,45,8
raincoat,5,8
sofa bed,172,8
notebook,77,8
cardigan,4,8
sweepers,174,8
gold pin,44,8
low tops,45,8
mini pcs,76,8
scar gel,72,8
acne gel,72,8
lip mask,72,8
eye mask,72,8
curtains,185,8
cushions,184,8
crop top,33,8
smart tv,278,8
wall art,182,8
necklace,41,8
biscuits,243,8
colander,178,8
leggings,10,8
telekung,25,8
headband,35,8
lip tint,61,8
bath tub,145,8
eye care,232,8
sim card,250,8
ear care,232,8
platform,47,8
vitamins,232,8
keyboard,86,8
mousepad,85,8
tnb bill,251,8
playmats,152,8
softener,234,8
baby bag,157,8
mattress,161,8
bolsters,161,8
kids bag,157,8
baby bed,161,8
macbooks,91,8
joystick,93,8
blankets,161,8
cereals,242,7
perfume,52,7
jellies,239,7
lipbalm,61,7
cookies,243,7
oinment,69,7
pet bed,231,7
blowers,224,7
sex toy,65,7
sejadah,25,7
spatula,178,7
bonnets,34,7
cologne,52,7
shading,56,7
spreads,239,7
mahjong,98,7
feeders,226,7
t-shirt,29,7
routers,83,7
leashes,227,7
collars,227,7
falsies,58,7
netbook,77,7
kendama,97,7
blusher,55,7
heating,230,7
mascara,58,7
filters,230,7
scanner,80,7
printer,79,7
tablets,119,7
scraper,200,7
potties,142,7
sconces,192,7
playpen,162,7
joggers,9,7
pillows,161,7
sandals,46,7
slipper,46,7
ratchet,200,7
selipar,46,7
juicers,256,7
cooktop,273,7
rc cars,150,7
hacksaw,200,7
ukulele,102,7
cutters,178,7
pampers,142,7
slip on,45,7
hoodies,2,7
palazzo,7,7
candles,186,7
mirrors,182,7
qled tv,278,7
sweater,2,7
oled tv,278,7
necktie,42,7
langsir,185,7
balloon,187,7
cutlery,177,7
bow tie,42,7
watches,180,7
glasses,39,7
shelves,189,7
dustbin,174,7
baskets,190,7
overall,11,7
diapers,142,7
barbell,110,7
diaries,204,7
scooter,108,7
pancing,107,7
dvd-ram,106,7
dvd-rom,106,7
scarves,35,7
blu-ray,106,7
panties,16,7
handbag,217,7
trumpet,105,7
piccolo,105,7
duffels,219,7
griddle,258,7
padlock,267,7
push-up,20,7
pyjamas,21,7
dumbell,110,7
carpets,181,7
headset,111,7
usb fan,114,7
planner,204,7
warmers,141,7
notepad,204,7
singlet,13,7
lighter,178,7
accents,134,7
statues,134,7
e-juice,133,7
earring,38,7
freezer,270,7
loafers,48,7
bandana,35,7
monopod,125,7
swimfin,49,7
sweets,243,6
visors,34,6
shades,39,6
sauces,247,6
brooch,44,6
cincin,44,6
beanie,36,6
walnut,244,6
tudung,35,6
wedges,47,6
periuk,257,6
oxford,48,6
brogue,48,6
spices,247,6
shears,178,6
covers,219,6
scones,243,6
jacket,0,6
wrench,200,6
pliers,200,6
drills,200,6
tights,10,6
mallet,200,6
chisel,200,6
screws,201,6
bandal,161,6
washer,201,6
pencil,205,6
charms,134,6
fridge,270,6
lenses,125,6
tripod,125,6
hammer,200,6
drawer,169,6
e-book,119,6
karpet,181,6
grater,178,6
tv box,279,6
blazer,1,6
peeler,178,6
knives,178,6
clocks,180,6
blinds,185,6
brooms,174,6
led tv,278,6
spoons,177,6
lcd tv,278,6
crt tv,278,6
quilts,176,6
almari,189,6
peplum,33,6
drones,123,6
iphone,118,6
gundam,96,6
condom,65,6
kondom,65,6
tampon,67,6
blouse,33,6
laptop,77,6
skorts,32,6
modems,83,6
kennel,233,6
webcam,90,6
vr box,93,6
record,95,6
puzzle,96,6
corset,14,6
helmet,37,6
treats,229,6
racket,108,6
dvd-rw,106,6
towels,224,6
guitar,102,6
violin,102,6
bikini,20,6
shorts,18,6
trunks,19,6
4k tv,278,5
shawl,35,5
hijab,35,5
brief,17,5
dress,30,5
skirt,31,5
shirt,29,5
boxer,19,5
kurta,29,5
jeans,6,5
saree,26,5
pants,8,5
album,95,5
belts,43,5
bongo,104,5
chair,170,5
slime,97,5
novel,101,5
cello,102,5
katil,161,5
viola,102,5
piano,103,5
organ,103,5
level,200,5
flute,105,5
table,172,5
shoes,45,5
nails,201,5
pouch,216,5
dvd-r,106,5
hi-fi,112,5
ipads,119,5
bolts,201,5
ruler,208,5
wiper,129,5
tapes,203,5
hoods,230,5
cakes,243,5
dildo,65,5
boots,47,5
heels,47,5
yeast,248,5
spike,49,5
flats,50,5
socks,51,5
spray,52,5
tongs,178,5
ladle,178,5
whisk,179,5
chalk,205,5
cadar,176,5
plate,177,5
honey,239,5
racks,189,5
forks,177,5
mouse,84,5
bowl,177,4
vest,3,4
sofa,172,4
sink,170,4
oven,272,4
mats,195,4
rugs,181,4
vice,200,4
cups,177,4
meja,172,4
mops,174,4
tags,219,4
coat,0,4
hats,34,4
pest,236,4
gown,30,4
mice,84,4
baju,29,4
polo,29,4
dslr,124,4
cage,231,4
lego,96,4
tico,96,4
caps,34,4
yoyo,97,4
harp,102,4
drum,104,4
tuba,105,4
mist,52,4
oats,242,4
mug,177,3
edp,52,3
edt,52,3
pen,205,3
jam,239,3
loz,96,3
bed,169,3
saw,200,3
dvd,106,3
ram,89,3
cd,106,2
